1,Introducción a la Universidad,22,Introducción a la Universidad,3,,,,,,,,,
4,Bosquejos de la Biblia,23,Bosquejos de la Biblia,1,,,,,,,,,
5,Panorama Biblico,24,Panorama Biblico,1,,,,,,,,,
7,Teología I,25,Teología I,1,,,,,,,,,
8,Introduccion AT,1,Pentateuco,5,,,,,,,,,
8,Introduccion AT,2,Libros Historicos 1,7,,,,,,,,,
8,Introduccion AT,3,Libros Historicos 2,5,,,,,,,,,
8,Introduccion AT,4,Libros Poeticos,5,,,,,,,,,
8,Introduccion AT,5,Libros Profetas Mayores,5,,,,,,,,,
8,Introduccion AT,6,Libros Profetas Menores 1,6,,,,,,,,,
8,Introduccion AT,11,Libros Profetas Menores 2,6,,,,,,Modulo ,Materia,,Nota 
47,El Evangelio,7,El Evangelio,1,,,,,,Modulo A,Materia A1,,50
48,Introduccion NT,8,Historico NT,1,,,,,,Modulo B,Grupo B1,materiaBG11,40
48,Introduccion NT,9,Cartas Paulinas 1,4,,,,,,,,materiaBG12,
48,Introduccion NT,10,Cartas Generales 1,4,,,,,,,,materiaBG13,
48,Introduccion NT,12,Cartas Paulinas 2,5,,,,,,Modulo B,Grupo B2,materiaBG21,20
48,Introduccion NT,13,Cartas Paulinas 3,4,,,,,,,,materiaBG22,
48,Introduccion NT,14,Cartas Generales 2,4,,,,,,,,materiaBG23,
48,Introduccion NT,15,Evangelios,4,,,,,,Modulo B,Materia B1,,60
74,Liderazgo I,16,Liderazgo I,1,,,,,,Modulo B,Materia B2,,85
75,Crecimiento Espiritual,17,Crecimiento Espiritual,2,,,,,,Modulo C,Materia C1,,50
77,Fruto del Espíritu,18,Fruto del Espíritu,1,,,,,,,,,
78,Clases asociadas,19,Clases asociadas,7,,,,,,,,,
85,Adoracion,20,Adoracíon,1,,,,,,,,,
119,Pre-Tesis,21,Pre-Tesis,1,,,,,,,,,
